,xm,bj,xb,yw,sx,wy,zz,ls,dl,wl,hx,sw,wlfk
342,wu_ze_gong,1107,nan,87,90,90,96,99,100,90,96,95,wen_ke
343,bian_yan_fang,1107,nv,94,99,96,97,92,92,86,96,91,wen_ke
344,gong_bin,1107,nan,87,94,94,93,91,94,95,98,95,wen_ke
345,guan_guo_jiang,1107,nan,94,96,92,92,98,96,91,94,88,wen_ke
346,ma_gong_yang,1107,nv,90,91,92,97,97,98,91,96,88,wen_ke
347,bao_jun,1107,nan,85,92,86,95,98,100,95,96,92,wen_ke
348,wu_jue_feng,1107,nv,87,94,91,94,94,96,94,98,91,wen_ke
349,qu_ya_lan,1107,nv,94,97,95,97,97,100,79,94,86,wen_ke
350,wu_xiao_gong,1107,nv,92,92,89,96,93,94,93,94,94,wen_ke
351,cang_ting,1107,nv,91,94,94,98,94,96,83,94,93,wen_ke
352,ju_yan_ling,1107,nv,89,95,97,97,98,96,77,98,90,wen_ke
353,mi_wei_jin,1107,nan,89,94,92,95,98,96,87,94,91,wen_ke
354,shan_sai_ting,1107,nv,93,91,92,93,99,94,90,94,90,wen_ke
355,wen_hun_yan,1107,nv,93,89,96,89,99,96,88,94,91,wen_ke
356,nong_qiong,1107,nv,93,91,98,95,97,98,85,92,86,wen_ke
357,xuan_bi_lian,1107,nv,91,90,94,98,98,96,82,94,91,wen_ke
358,fan_chi_yu,1107,nan,89,92,91,95,95,98,92,92,90,wen_ke
359,bao/pu_zong_yu,1107,nan,92,93,94,93,96,92,94,88,91,wen_ke
360,lu_ru,1107,nv,91,92,95,94,96,98,80,96,90,wen_ke
361,hua_dun_jia,1107,nan,92,82,88,97,97,100,90,98,88,wen_ke
362,shi_da_qian,1107,nv,90,95,95,95,92,98,88,90,88,wen_ke
363,bian_xiao_jing,1107,nv,89,93,94,94,96,96,84,98,87,wen_ke
364,you_wei_hua,1107,nv,90,89,92,95,94,94,91,98,86,wen_ke
365,yong_qiu_ping,1107,nv,89,85,85,96,97,98,90,92,96,wen_ke
366,luan_can,1107,nv,92,89,92,98,95,92,79,94,96,wen_ke
367,dao_yan_meng,1107,nv,96,91,88,94,97,96,85,84,94,wen_ke
368,du_tao_yang,1107,nv,91,89,92,97,99,96,82,94,83,wen_ke
369,xiao_li_ting,1107,nv,88,97,97,93,95,100,71,94,83,wen_ke
370,fu_yong_lian,1107,nv,89,87,94,95,98,98,72,92,89,wen_ke
371,ma_zhi_shi,1107,nan,91,88,89,97,95,96,82,84,89,wen_ke
372,wang_rong_rong,1107,nv,95,97,95,98,96,94,62,94,79,wen_ke
373,ji_ting_ting,1107,nv,95,85,95,96,98,100,75,94,72,wen_ke
374,deng_fang_beng,1107,nan,91,87,89,94,99,100,71,86,89,wen_ke
375,bang_xiu_jiao,1107,nv,89,81,92,95,95,98,82,96,78,wen_ke
376,ruan_de_jiang,1107,nan,92,95,95,93,92,88,85,92,74,wen_ke
377,shuang_jin,1107,nv,89,94,88,92,95,90,81,82,93,wen_ke
378,wu_shuang_rong,1107,nv,90,87,95,99,99,95,61,92,86,wen_ke
379,yan_xin,1107,nv,91,93,95,94,92,92,81,86,79,wen_ke
380,weng_xiang_zhong,1107,nan,89,96,82,93,97,96,74,100,73,wen_ke
381,quan_jing,1107,nv,87,76,94,93,97,100,72,96,84,wen_ke
382,ji_chang_cheng,1107,nan,86,90,80,97,100,94,79,92,81,wen_ke
383,fang_qiu_chang,1107,nv,88,89,89,90,95,94,72,92,81,wen_ke
384,gu_dun_jie,1107,nan,91,91,86,96,95,98,62,88,81,wen_ke
385,wei_lan,1107,nv,87,89,91,97,89,96,67,94,78,wen_ke
386,dan_fu_heng,1107,nan,86,91,90,93,92,96,68,90,81,wen_ke
387,reng_xiao_ling,1107,nv,90,86,87,97,89,93,73,82,88,wen_ke
388,chen_xi_sheng,1107,nan,91,89,75,95,100,100,59,86,85,wen_ke
389,bao_rui,1107,nan,89,90,82,88,93,98,66,78,81,wen_ke
390,an_tao_tao,1107,nv,86,85,90,95,86,88,66,78,76,wen_ke
391,jiao_jin_yin,1108,nv,91,98,95,99,99,100,100,100,97,li_ke
392,yi_li_xian,1108,nan,92,97,99,95,94,100,100,100,99,li_ke
393,he_wu_jiao,1108,nv,96,98,94,97,94,98,98,98,97,li_ke
394,hong_wen_hao,1108,nan,93,97,93,97,94,98,100,98,99,li_ke
395,yu_qiao_ru,1108,nv,93,99,92,95,100,97,95,100,97,li_ke
396,he_xue_chao,1108,nan,94,96,97,97,95,96,95,100,96,li_ke
397,duan_zheng_biao,1108,nan,93,93,95,96,100,98,94,100,96,li_ke
398,hang_xue_wen,1108,nv,92,97,96,94,98,98,97,98,95,li_ke
399,lou_jie_peng,1108,nan,88,97,96,91,95,96,100,100,99,li_ke
400,pu_zi_hui,1108,nv,89,97,97,96,95,100,94,96,97,li_ke
401,yi_jing_hui,1108,nv,96,98,97,91,95,94,95,100,95,li_ke
402,dai_xiu_lan,1108,nv,91,95,91,94,99,94,98,100,97,li_ke
403,qi_zhi_shuai,1108,nan,92,93,95,94,99,96,95,100,95,li_ke
404,bie_zhi_yu,1108,nan,86,97,92,90,99,98,100,98,97,li_ke
405,guo_xi_ying,1108,nan,94,94,95,95,97,96,94,98,94,li_ke
406,le_yi_huang,1108,nan,90,98,97,94,96,96,91,100,94,li_ke
407,yan_ming_xiang,1108,nan,91,95,91,95,94,98,96,100,94,li_ke
408,chan_ge,1108,nv,90,97,96,91,96,94,97,100,93,li_ke
409,bo_long/long_qing,1108,nan,94,93,85,99,94,100,100,98,91,li_ke
410,yu_guo_zhong,1108,nan,90,95,93,93,91,96,97,100,98,li_ke
411,fang_guan_beng,1108,nv,92,93,90,94,94,94,99,98,97,li_ke
412,gong_hua_beng,1108,nan,91,96,94,92,91,96,92,100,98,li_ke
413,feng_bing_hua,1108,nan,86,98,93,92,95,96,95,100,95,li_ke
414,zou_xue_yan,1108,nv,92,96,96,93,93,94,94,100,92,li_ke
415,lai_shi_zhang,1108,nan,86,97,88,97,95,94,95,100,96,li_ke
416,bie_yan_qin,1108,nv,93,97,94,91,93,92,93,100,95,li_ke
417,nong_jia_qin,1108,nv,86,98,95,92,91,98,92,98,97,li_ke
418,liu_you_xiang,1108,nv,93,94,95,94,89,100,89,100,93,li_ke
419,li_yi_cong,1108,nan,90,97,94,90,95,94,94,96,96,li_ke
420,luo_xiang_feng,1108,nan,96,96,88,94,99,95,89,98,91,li_ke
421,hao_yan_ping,1108,nv,93,92,91,90,98,98,90,96,96,li_ke
422,ning_dun,1108,nan,90,96,92,94,97,96,86,98,95,li_ke
423,shi_er_chu,1108,nan,91,96,89,98,94,96,92,98,90,li_ke
424,hu_ren_jiang,1108,nan,89,89,94,94,91,100,94,98,93,li_ke
425,shan_jin,1108,nan,89,94,95,90,94,96,97,96,91,li_ke
426,mu_you_you,1108,nv,88,89,98,91,99,94,91,96,95,li_ke
427,xun_yao,1108,nv,89,93,97,89,86,90,94,98,97,li_ke
428,yu_li_jun,1108,nv,92,88,91,91,91,96,89,100,95,li_ke
429,shang_zhen_hua,1108,nan,86,96,82,95,90,94,92,100,97,li_ke
430,zhou_zhen_yu,1108,nan,88,88,87,92,97,96,91,96,93,li_ke
431,zong_meng_xiang,1108,nv,93,93,95,91,79,94,91,96,92,li_ke
432,mu_yuan,1108,nv,89,94,86,91,91,96,82,100,94,li_ke
433,wen_xiao_qing,1108,nv,91,85,93,92,97,94,81,100,90,li_ke
434,hao_hui,1108,nv,88,97,93,89,80,92,94,98,91,li_ke
435,ci_liu_hua,1108,nv,92,92,91,92,89,98,74,100,92,li_ke
436,ji_yue,1108,nan,86,89,86,94,89,96,93,94,89,li_ke
437,lu_meng_qiu,1109,nv,93,98,98,97,96,98,100,100,98,li_ke
438,tong_qiu_yan,1109,nv,92,98,95,95,95,100,100,98,98,li_ke
439,jie_yi_qiu,1109,nan,91,93,92,95,100,100,100,100,98,li_ke
440,chen/shen_qiu_yan,1109,nv,94,92,94,96,96,100,100,100,97,li_ke
441,niu_fei_yu,1109,nan,90,98,94,97,95,100,94,100,98,li_ke
442,cu_yi_lin,1109,nv,93,98,97,94,98,97,94,100,95,li_ke
443,jiang_bo_jun_meng,1109,nv,95,94,97,95,99,96,91,100,96,li_ke
444,yu_jing_shi,1109,nv,89,93,97,96,92,100,95,100,100,li_ke
445,qu_hai_beng,1109,nan,82,99,93,94,98,100,97,100,98,li_ke
446,bo_zong_shun,1109,nan,90,96,95,94,93,100,94,100,97,li_ke
447,liu_fu_shuang,1109,nan,90,96,94,89,97,95,99,98,100,li_ke
448,yi_yan_gong,1109,nv,88,96,95,99,93,96,96,98,97,li_ke
449,ji_wen,1109,nan,91,97,90,93,98,98,97,98,95,li_ke
450,guan_qi_hai,1109,nan,89,96,97,88,98,96,97,100,95,li_ke
451,guo_ji,1109,nv,93,97,93,96,93,94,97,98,95,li_ke
452,tu_qiu_hua,1109,nan,87,96,97,96,92,98,94,98,96,li_ke
453,fei_guo_beng,1109,nan,89,98,91,95,91,98,94,100,97,li_ke
454,fu_xiao_hui,1109,nan,89,93,94,94,98,98,94,98,95,li_ke
455,du_ping,1109,nan,89,96,94,93,90,94,100,98,98,li_ke
456,peng_jing_lian,1109,nv,90,94,96,89,98,96,95,100,93,li_ke
457,ji_chun_yan,1109,nv,93,97,96,90,86,98,94,98,97,li_ke
458,ji_xun_ke,1109,nan,85,99,93,97,90,96,94,98,97,li_ke
459,chou_jie,1109,nan,92,94,92,93,96,98,91,100,93,li_ke
460,meng_chang_jing,1109,nan,88,100,88,98,91,98,95,98,93,li_ke
461,an_tian_wen,1109,nan,92,97,92,95,94,94,97,96,91,li_ke
462,ning_yang_mei,1109,nv,90,97,94,94,95,96,95,94,92,li_ke
463,hou_hong,1109,nv,90,93,95,91,96,98,89,96,98,li_ke
464,tu_meng,1109,nan,87,94,94,94,91,96,96,96,97,li_ke
465,bi_mao_yue,1109,nan,91,98,88,95,90,96,93,100,94,li_ke
466,lian_yu,1109,nan,89,97,94,94,87,98,92,100,94,li_ke
467,chou_dong_lan,1109,nv,93,97,89,97,90,94,94,100,91,li_ke
468,di_min,1109,nv,93,93,93,95,91,98,85,100,96,li_ke
469,wu_shui_lian,1109,nv,92,96,92,97,92,96,86,100,93,li_ke
470,bo_chen_qian_zhi,1109,nv,90,98,98,86,94,96,93,96,93,li_ke
471,qin_meng_yong,1109,nan,92,94,87,95,94,92,94,96,97,li_ke
472,suo/suo_jing_yu,1109,nan,86,94,90,93,94,96,92,100,95,li_ke
473,an_chi,1109,nv,94,95,94,91,93,96,85,100,90,li_ke
474,pu_xin,1109,nan,89,96,94,91,85,96,89,100,96,li_ke
475,yu_ru_jiang,1109,nan,86,90,96,96,92,98,88,94,95,li_ke
476,xu_yuan,1109,nv,90,95,92,95,88,90,90,98,96,li_ke
477,gong_chu_ji,1109,nv,92,93,87,93,93,96,93,96,89,li_ke
478,bie_fu_cheng,1109,nan,90,87,88,95,94,100,87,96,94,li_ke
479,kong_yan_lin,1109,nv,90,96,98,96,91,82,82,100,93,li_ke
480,mao_shang_di,1109,nan,89,90,95,96,94,92,79,100,92,li_ke
481,miao_li_hua,1109,nv,90,94,92,90,89,94,91,96,91,li_ke
482,cang_jing_hong,1109,nv,91,92,96,97,82,90,86,96,96,li_ke
483,cheng_jiang_nian,1109,nv,90,89,85,95,90,98,85,98,95,li_ke
484,yan_yu,1109,nan,89,95,92,94,94,94,77,96,94,li_ke
485,ruan_yang_zhi,1109,nan,92,97,84,98,97,90,85,90,86,li_ke
486,lin_jie_jing,1109,nan,89,94,89,92,83,96,89,84,94,li_ke
487,ning_qi,1110,nan,94,97,97,97,100,100,100,100,100,li_ke
488,fu_shi_hong,1110,nan,88,98,99,95,100,100,97,100,95,li_ke
489,shuang_wen_hua,1110,nan,92,97,93,98,95,96,100,100,98,li_ke
490,cheng_xie_qian,1110,nv,88,96,97,96,97,100,100,100,95,li_ke
491,bao_cheng,1110,nan,93,99,98,99,93,98,95,100,92,li_ke
492,wei_fu_jiang,1110,nan,88,96,96,98,95,100,97,100,96,li_ke
493,yan_xiu_jiao,1110,nv,94,92,97,99,97,96,91,100,99,li_ke
494,dou_xin,1110,nan,88,97,96,99,100,96,91,100,97,li_ke
495,shou_qing,1110,nan,93,95,90,93,98,98,97,100,99,li_ke
496,huan_lin_cui,1110,nv,89,96,95,99,94,100,95,98,97,li_ke
497,xuan_jian_gang,1110,nan,90,93,93,96,94,98,97,100,99,li_ke
498,ji_ya_bin,1110,nan,91,91,92,92,98,98,100,100,96,li_ke
499,du_ge,1110,nv,90,96,97,92,93,98,94,100,97,li_ke
500,fu_you_cui,1110,nv,90,97,92,96,97,98,92,100,94,li_ke
501,tu_xiang,1110,nv,89,96,93,95,93,94,97,100,98,li_ke
502,chen_xiao_xi,1110,nv,92,95,94,96,92,94,94,100,97,li_ke
503,lai_peng_xiang,1110,nv,91,96,98,95,93,96,93,96,96,li_ke
504,dai_tu_jie,1110,nan,89,98,99,91,88,98,98,98,95,li_ke
505,cheng_qing_wei,1110,nan,92,96,95,95,95,96,96,98,91,li_ke
506,teng_gui_hai,1110,nan,89,96,93,91,97,98,93,98,98,li_ke
507,wu_chi,1110,nan,90,98,89,96,97,94,94,98,97,li_ke
508,mo_yu_teng,1110,nv,87,97,97,99,95,98,86,100,93,li_ke
509,luan_li_beng,1110,nv,88,97,94,90,92,96,96,100,98,li_ke
510,he_chang_hai,1110,nan,92,93,90,99,94,96,93,98,96,li_ke
511,chen_ling,1110,nv,91,96,97,92,90,92,96,98,98,li_ke
512,xiong_yue,1110,nv,86,97,94,93,96,91,94,100,97,li_ke
513,guo_wei,1110,nan,90,96,91,96,94,98,87,100,95,li_ke
514,shuang_xue_ping,1110,nv,87,96,92,94,96,90,97,100,94,li_ke
515,chen/shen_li,1110,nv,91,95,90,95,93,100,92,100,89,li_ke
516,lin_fang_fang,1110,nv,93,97,97,92,88,94,92,96,95,li_ke
517,xi_jiang_qian,1110,nan,91,90,93,93,96,96,89,100,92,li_ke
518,ca_jing_jing,1110,nan,90,96,88,91,97,92,91,100,93,li_ke
519,qiu_quan,1110,nan,87,92,96,97,95,94,88,92,96,li_ke
520,lian_xiao_yun,1110,nv,90,95,92,94,84,98,94,94,95,li_ke
521,jiang_chang_li,1110,nan,83,96,91,92,83,94,100,100,96,li_ke
522,chong_ge,1110,nan,81,96,82,95,95,94,100,98,93,li_ke
523,xi_wen_li,1110,nv,91,95,91,95,91,94,86,100,90,li_ke
524,zai_cun_yi,1110,nan,87,92,89,94,91,96,92,96,95,li_ke
525,lei_sai_beng,1110,nv,93,92,95,90,80,96,94,98,94,li_ke
526,shu_wu_shen,1110,nv,90,93,91,94,96,94,83,92,94,li_ke
527,sun_juan_lan,1110,nv,86,93,95,89,88,98,83,96,96,li_ke
528,reng_xiao_yu,1110,nv,91,94,94,88,89,90,88,96,93,li_ke
529,bo_dian,1110,nv,90,97,90,96,83,94,87,100,84,li_ke
530,bing_xiao_yan,1110,nv,87,95,91,89,83,96,93,98,88,li_ke
531,tian_lin_qiong,1110,nv,88,94,86,90,87,90,92,96,84,li_ke
532,gao_xiao_su,1110,nv,93,91,93,93,76,94,78,92,96,li_ke
533,fang_shao_wei,1110,nv,83,96,92,93,78,90,79,100,92,li_ke
534,mi_yong,1110,nan,84,89,78,96,85,96,79,98,93,li_ke
535,yu_ling_xian,1111,nv,89,97,88,98,98,98,94,96,93,li_ke
536,han_xu_hua,1111,nan,83,96,90,95,98,98,91,94,97,li_ke
537,gu_jie_xiang,1111,nan,85,96,94,93,91,94,100,98,91,li_ke
538,cang_yan,1111,nv,94,94,97,93,94,96,94,94,86,li_ke
539,reng_xiao_bei,1111,nan,84,95,91,92,95,92,91,100,99,li_ke
540,yuan_dong_mei,1111,nv,93,93,88,97,98,92,88,96,90,li_ke
541,jia_deng_kai,1111,nan,89,97,91,91,90,92,95,98,91,li_ke
542,shou_cai,1111,nan,88,94,98,94,89,92,91,98,90,li_ke
543,mei_rong_sai,1111,nan,89,99,90,95,86,98,89,98,89,li_ke
544,yong_xiu_ping,1111,nv,90,95,94,95,91,88,95,100,85,li_ke
545,yan_wen_hua,1111,nan,87,95,92,89,91,96,95,96,90,li_ke
546,chi_yu_xiang,1111,nv,93,94,92,100,91,98,73,100,88,li_ke
547,wu_yang,1111,nan,89,92,95,93,84,98,94,98,85,li_ke
548,zhuo_xiao_qian,1111,nv,89,93,94,90,88,94,89,94,96,li_ke
549,pi_yang,1111,nv,87,87,93,93,91,96,88,98,94,li_ke
550,tao_jiang_wen,1111,nan,86,90,87,86,94,98,97,96,92,li_ke
551,chen/shen_huan_rong,1111,nv,85,96,91,93,85,94,90,98,92,li_ke
552,cheng_jiang_na,1111,nan,84,94,91,87,92,94,91,94,96,li_ke
553,jiang_yi_jun,1111,nan,92,96,89,88,89,96,92,96,85,li_ke
554,ruan_yu_gong,1111,nan,85,96,85,93,90,92,97,94,90,li_ke
555,xi_chao_xing,1111,nan,89,95,94,97,85,96,85,98,83,li_ke
556,chu_gong_yang,1111,nv,90,96,87,96,89,96,85,98,83,li_ke
557,gong_xiao_yi,1111,nan,86,92,76,92,91,96,93,100,93,li_ke
558,shi_hai_yan,1111,nv,88,94,86,92,94,94,82,92,96,wen_ke
559,gu_zi_jiao,1111,nan,89,87,88,97,89,92,94,96,86,li_ke
560,gong_chun_meng,1111,nan,86,94,90,96,95,86,89,92,89,li_ke
561,zou_tian_fu,1111,nan,87,93,92,89,84,92,95,98,86,li_ke
562,zhang_dai_xian,1111,nan,83,93,86,86,86,92,98,98,93,li_ke
563,ai_yuan,1111,nan,92,94,91,92,80,91,91,94,87,li_ke
564,liu_wei,1111,nan,84,98,97,87,89,89,87,92,88,li_ke
565,yu_ji,1111,nv,91,91,89,91,89,94,80,96,88,li_ke
566,hui_fei_fei,1111,nv,78,93,84,88,89,94,97,96,89,li_ke
567,ji_ya_qiao,1111,nan,88,96,92,88,84,98,91,82,89,li_ke
568,liu_chi_chi,1111,nv,87,97,90,95,87,90,81,94,86,li_ke
569,he_qin_qin,1111,nv,91,94,90,96,78,95,73,98,91,li_ke
570,yuan_meng_ling,1111,nv,94,96,96,90,85,92,81,82,89,li_ke
571,hong_cui_e,1111,nv,88,90,91,91,84,96,88,94,83,li_ke
572,ba_jiang_yan,1111,nv,89,80,90,89,87,98,79,96,91,li_ke
573,zheng_jia_meng,1111,nan,84,94,83,94,85,88,77,94,96,li_ke
574,zou_meng_yi,1111,nan,77,91,86,93,90,95,77,98,87,li_ke
575,ban_wei,1111,nan,87,94,86,84,85,94,81,88,90,li_ke
576,luo_wei_jian,1111,nan,83,93,88,87,80,84,87,96,87,li_ke
577,ji_sai_ling,1111,nv,89,96,90,91,79,90,81,82,86,li_ke
578,fang_ji_ling/ling/ling,1111,nan,86,93,88,87,83,92,72,88,85,li_ke
579,gong_zhuo_min,1111,nan,84,98,79,92,84,90,70,84,78,li_ke
580,gao_lu_yao,1111,nan,88,92,83,89,75,90,70,86,84,li_ke
581,li_yu,1111,nan,83,86,77,91,78,84,81,86,86,li_ke
582,bang_shu_bi,1111,nan,86,93,85,87,81,84,47,98,90,li_ke
583,bie_ya_chun,1112,nv,92,96,86,97,94,93,91,100,99,li_ke
584,bao_mou_shen,1112,nan,91,97,94,96,86,98,94,98,94,li_ke
585,lu_qian_qian,1112,nv,93,98,96,97,84,91,87,100,99,li_ke
586,chu_ru_hua,1112,nv,93,97,93,99,91,96,85,100,90,li_ke
587,reng_yu_feng,1112,nv,90,95,90,94,90,96,82,98,100,li_ke
588,bing_yu_nai,1112,nan,88,97,93,99,78,100,89,98,92,li_ke
589,bai_jie,1112,nan,85,97,86,94,92,96,89,98,95,li_ke
590,su_hong_ban,1112,nan,87,93,85,92,88,94,97,98,96,li_ke
591,shang_yun_hua,1112,nan,80,93,95,90,89,96,92,96,94,li_ke
592,wu_lin_jun,1112,nan,91,93,84,94,95,94,86,96,92,li_ke
593,yan_yi_wang,1112,nan,91,93,83,94,92,92,91,94,92,li_ke
594,lian_qian,1112,nv,86,91,95,88,92,90,89,100,91,li_ke
595,ai_yang_fang_fang,1112,nv,89,98,91,95,87,94,91,86,89,li_ke
596,he_ya,1112,nv,88,92,90,89,93,92,87,100,87,li_ke
597,wen_dun_jiang,1112,nan,81,96,85,89,91,90,97,94,94,li_ke
598,song_xia_xia,1112,nv,90,89,89,94,90,94,94,86,91,li_ke
599,bian_xiang_yuan,1112,nan,92,82,78,92,92,94,95,98,93,li_ke
600,wu_yang_qun_fu,1112,nan,83,91,83,97,94,98,75,96,97,li_ke
601,tong_jian,1112,nan,92,90,85,95,89,92,80,96,95,li_ke
602,zhao_gong_mei,1112,nv,90,94,94,90,90,92,75,96,93,li_ke
603,gao_dong_yu,1112,nv,89,91,94,98,87,94,81,90,90,li_ke
604,cheng_ji_hua,1112,nv,83,96,83,91,90,87,96,94,93,li_ke
605,feng_jing,1112,nan,91,92,88,89,89,96,84,96,88,li_ke
606,yi_cheng_fu,1112,nan,87,90,74,95,90,94,86,100,96,li_ke
607,mei_qiu_xiang,1112,nv,86,95,88,94,81,92,92,96,88,li_ke
608,you_qiu_zhen,1112,nan,90,90,86,93,87,88,85,98,91,li_ke
609,jie_dun,1112,nan,84,98,80,90,89,88,93,96,89,li_ke
610,hao_yu_chao,1112,nan,86,92,85,97,88,93,78,94,92,li_ke
611,zhong_bing,1112,nan,84,95,87,91,96,91,86,88,87,li_ke
612,fu_yun_jia,1112,nv,90,91,89,90,85,100,75,90,94,li_ke
613,wen_rong_qi,1112,nan,89,94,87,93,84,88,77,98,92,li_ke
614,yi_cheng_cheng,1112,nan,84,96,81,81,81,94,95,94,92,li_ke
615,fei_xu_guang,1112,nan,90,92,89,93,92,92,69,94,86,li_ke
616,long_zi_hao,1112,nan,84,92,86,89,85,92,89,92,86,li_ke
617,tun_chun_bin,1112,nan,84,93,93,89,94,88,76,90,87,li_ke
618,qiao_yang_hu,1112,nan,86,87,90,84,85,94,86,90,88,li_ke
619,yi_zhang_cheng,1112,nan,82,88,70,89,92,90,94,90,89,li_ke
620,ji_nai_juan,1112,nv,93,89,86,92,81,92,64,90,93,li_ke
621,bi_dong_xiu,1112,nv,87,91,81,89,76,84,83,94,93,li_ke
622,xiong_xiao_yang,1112,nv,81,76,89,94,87,86,75,96,92,li_ke
623,gan_zi_hong,1112,nan,87,81,92,91,93,86,70,86,89,li_ke
624,zan_yuan_yuan,1112,nv,85,85,76,90,81,96,74,88,96,li_ke
625,gong_ting_ting,1112,nv,84,86,91,89,84,86,70,86,91,li_ke
626,feng_yu_xiang,1112,nv,84,85,86,88,82,96,81,82,83,li_ke
627,meng_ting_ting,1112,nv,86,89,88,89,90,80,58,96,82,li_ke
628,cheng_chao_long,1112,nan,84,96,91,91,0,96,89,98,91,li_ke
629,yu_hong_fu,1113,nan,93,97,90,92,94,96,95,100,93,li_ke
630,fang_zi_cheng,1113,nan,89,86,94,94,96,94,89,96,95,li_ke
631,sang_ming_wang,1113,nan,92,90,89,95,94,98,89,92,90,li_ke
632,zhong_ru_chang,1113,nan,88,89,86,91,92,94,94,98,94,li_ke
633,pu_jing_xiu,1113,nv,90,92,85,91,95,96,88,98,90,li_ke
634,gu_dao_xiang,1113,nan,85,97,82,94,91,96,91,100,88,li_ke
635,dong_yu_xing,1113,nan,87,95,92,92,89,94,83,96,92,li_ke
636,chu_chang_jing,1113,nan,92,95,79,90,91,96,80,98,91,li_ke
637,chi_zheng,1113,nan,92,86,88,92,85,94,80,94,94,li_ke
638,wei_yin_yong,1113,nan,77,96,83,93,92,98,83,90,93,li_ke
639,jian_wei,1113,nan,84,86,90,91,88,98,84,90,92,li_ke
640,feng_yi_shen,1113,nan,91,81,90,94,96,90,73,98,90,li_ke
641,xi_xiu_hao,1113,nan,88,84,91,94,89,98,80,90,88,li_ke
642,zuo_jian_mei,1113,nv,87,88,90,91,86,98,77,94,87,li_ke
643,deng_xin_cai,1113,nan,88,91,83,95,95,92,73,96,79,li_ke
644,gong_wei_wei,1113,nv,91,71,91,94,88,88,85,94,89,li_ke
645,duan_wen_cai,1113,nan,76,92,82,89,84,88,95,100,85,li_ke
646,he_fu_jian,1113,nan,87,81,84,84,98,94,87,92,84,li_ke
647,ji_bei_tao,1113,nan,80,81,87,91,89,94,84,92,90,li_ke
648,dou_ding_xian,1113,nan,86,84,79,85,95,92,92,90,84,li_ke
649,chong_duo_chuan,1113,nan,88,77,88,89,89,91,76,94,94,li_ke
650,duan_ya_ya,1113,nv,85,92,84,90,85,96,81,88,81,li_ke
651,ruan_mo_li/li,1113,nan,85,81,82,87,90,98,81,90,87,li_ke
652,pu_xiang_yun,1113,nv,87,76,89,97,86,96,72,90,87,li_ke
653,chu_meng_xing,1113,nv,80,77,90,92,79,89,91,90,89,li_ke
654,xiao_wen_jing,1113,nv,90,82,89,96,92,88,75,86,76,wen_ke
655,zhou_qing_yuan,1113,nan,84,82,85,88,80,86,92,90,84,li_ke
656,cheng_shi_yu,1113,nan,83,75,81,87,84,94,81,96,89,li_ke
657,cang_fei_yang,1113,nv,86,90,87,86,88,88,78,78,87,li_ke
658,wu_yan,1113,nv,80,91,94,93,75,92,69,92,82,li_ke
659,cu_cong,1113,nan,88,68,79,84,88,92,82,96,88,li_ke
660,yu_chen_ling,1113,nv,87,83,84,95,73,90,76,90,87,li_ke
661,ci_yang_ya_jie,1113,nan,86,66,82,87,89,96,69,96,89,li_ke
662,lv_chang_he,1113,nan,89,85,80,96,84,93,60,86,87,li_ke
663,nong_yang_zhi,1113,nan,82,73,84,95,96,94,63,92,79,li_ke
664,yan_wei_qian,1113,nan,81,71,90,84,78,92,87,84,83,li_ke
665,shou_ji_qing,1113,nan,88,82,72,92,78,88,69,96,84,li_ke
666,bing_duo_meng,1113,nan,89,78,84,84,83,79,89,78,84,li_ke
667,bang_run_quan,1113,nan,81,81,91,85,82,86,77,86,76,li_ke
668,cong_jin_lin,1113,nan,91,69,81,83,88,86,65,94,80,li_ke
669,quan_mo_cheng,1113,nan,86,71,75,78,84,94,79,90,78,li_ke
670,luo_hai_na,1113,nv,86,77,74,91,77,88,63,88,85,li_ke
671,tong_chun_beng,1113,nan,67,85,83,73,75,98,75,94,78,li_ke
672,mi_lei,1113,nan,83,80,85,89,86,92,56,80,66,li_ke
673,chu_cheng_xiang,1113,nan,82,67,75,95,74,87,68,84,79,li_ke
674,zhao_you_yang,1113,nan,86,60,68,82,85,90,60,94,81,li_ke
675,liu_meng_qiu,1113,nan,82,68,70,74,77,90,71,78,83,li_ke
676,shu_mao,1113,nan,66,58,73,67,58,80,51,80,72,li_ke
677,hua_ya,1113,nan,33,46,30,65,82,76,56,76,59,li_ke
678,gu_yi_jing,1114,nv,85,97,95,86,91,96,95,100,98,li_ke
679,ji_shan_xiao,1114,nan,87,92,90,98,98,98,91,92,89,li_ke
680,pu_chen_cheng,1114,nan,87,89,88,95,94,98,95,94,93,li_ke
681,chang_yan_yun,1114,nv,91,82,88,94,92,100,87,100,92,li_ke
682,jin_xing,1114,nan,86,89,88,94,93,96,86,96,95,li_ke
683,hou_xing_jie,1114,nan,89,97,90,86,90,96,86,94,88,li_ke
684,hao_chen_fang,1114,nv,87,90,91,93,94,92,83,96,89,li_ke
685,hang_meng_wen,1114,nan,91,84,89,92,83,96,97,90,91,li_ke
686,zhong_zhi_gao,1114,nan,88,95,87,93,96,92,77,92,90,li_ke
687,chang_hai_xia,1114,nv,91,97,93,96,79,96,76,98,84,li_ke
688,long_qi_meng,1114,nan,87,95,86,94,83,82,89,98,93,li_ke
689,chang_you_jiao,1114,nv,88,83,85,97,87,95,92,96,78,li_ke
690,ji_mei_hua,1114,nv,88,88,87,95,93,88,83,98,78,li_ke
